Time,from_ingress_queue_size,to_ingress_queue_size
190.735,256,nan
381.47,0,0
574.205,512,0
767.685,768,0
955.674,256,512
956.674,256,0
960.419,512,0
1146.41,256,256
1147.41,256,0
1337.14,0,256
1338.14,0,0
1728.1,512,0
2109.32,1024,0
2109.57,512,0
2300.05,768,0
2490.79,1024,0
2491.04,512,512
2492.04,512,0
2680.52,768,0
2681.78,512,0
2872.26,768,0
2872.51,512,256
2873.51,512,0
3063.25,256,0
3251.73,768,0
3253.98,512,256
3254.98,512,0
3633.2,1024,0
3635.45,512,512
3636.45,512,0
4014.67,1024,0
4016.92,512,512
4017.92,512,0
4397.14,1024,0
4398.39,512,0
4587.87,768,0
4779.61,1024,0
4779.86,512,0
4969.34,768,0
4970.6,512,0
5161.08,768,0
5161.33,512,256
5162.33,512,0
5350.81,768,0
5352.07,512,0
5540.55,768,0
5542.8,512,256
5543.8,512,0
5731.28,768,0
5733.54,512,256
5734.54,512,0
5922.02,768,0
5924.27,512,256
5925.27,512,0
6115.01,256,256
6116.01,256,0
6303.49,768,0
6305.74,512,256
6306.74,512,0
6684.96,1024,0
6687.21,512,512
6688.21,512,0
7066.43,1024,0
7068.68,512,512
7069.68,512,0
7448.89,1024,0
7450.15,512,0
7830.36,1024,0
7831.62,512,0
8211.83,1024,0
8213.09,512,0
8593.3,1024,0
8594.56,512,0
8974.77,1024,0
8976.03,512,0
9165.51,768,0
9357.24,1024,0
9357.5,512,0
9546.98,768,0
9548.23,512,0
9738.71,768,0
9738.97,512,256
9739.97,512,0
9928.45,768,0
9929.7,512,0
10118.2,768,0
10120.4,512,256
10121.4,512,0
10308.9,768,0
10311.2,512,256
10312.2,512,0
10499.7,768,0
10501.9,512,256
10502.9,512,0
10692.6,256,256
10693.6,256,0
10881.1,768,0
10883.4,512,256
10884.4,512,0
11262.6,1024,0
11264.8,512,512
11265.8,512,0
11644.1,1024,0
11646.3,512,512
11647.3,512,0
12026.5,1024,0
12027.8,512,0
12408,1024,0
12409.3,512,0
12789.5,1024,0
12790.7,512,0
13170.9,1024,0
13172.2,512,0
13552.4,1024,0
13553.7,512,0
13743.1,768,0
13934.9,1024,0
13935.1,512,0
14124.6,768,0
14125.9,512,0
14316.3,768,0
14316.6,512,256
14317.6,512,0
14506.1,768,0
14507.3,512,0
14695.8,768,0
14698.1,512,256
14699.1,512,0
14888.8,256,256
14889.8,256,0
15077.3,768,0
15079.5,512,256
15080.5,512,0
15458.8,1024,0
15461,512,512
15462,512,0
15840.2,1024,0
15842.5,512,512
15843.5,512,0
16032,768,0
16224,256,0
16414.7,0,0
16996.1,512,0
17188.9,768,0
17377.6,256,0
17379.6,512,0
17568.3,256,256
17569.3,256,0
17759.1,0,256
17760.1,0,0
18149,512,0
18530.2,1024,0
18530.5,512,0
18721,768,0
18911.7,1024,0
18912,512,512
18913,512,0
19101.4,768,0
19102.7,512,0
19293.2,768,0
19293.4,512,256
19294.4,512,0
19484.2,256,0
19672.7,768,0
19674.9,512,256
19675.9,512,0
20054.1,1024,0
20056.4,512,512
20057.4,512,0
20435.6,1024,0
20437.8,512,512
20438.8,512,0
20818.1,1024,0
20819.3,512,0
21008.8,768,0
21200.5,1024,0
21200.8,512,0
21390.3,768,0
21391.5,512,0
21582,768,0
21582.3,512,256
21583.3,512,0
21771.7,768,0
21773,512,0
21963.7,256,256
21964.7,256,0
22152.2,768,0
22154.5,512,256
22155.5,512,0
22533.7,1024,0
22535.9,512,512
22536.9,512,0
22915.1,1024,0
22917.4,512,512
22918.4,512,0
23297.6,1024,0
23298.9,512,0
23679.1,1024,0
23680.3,512,0
23869.8,768,0
24061.6,1024,0
24061.8,512,0
24251.3,768,0
24252.5,512,0
24443,768,0
24443.3,512,256
24444.3,512,0
24632.8,768,0
24634,512,0
24822.5,768,0
24824.7,512,256
24825.7,512,0
25015.5,256,256
25016.5,256,0
25204,768,0
25206.2,512,256
25207.2,512,0
25585.4,1024,0
25587.7,512,512
25588.7,512,0
25966.9,1024,0
25969.2,512,512
25970.2,512,0
26349.4,1024,0
26350.6,512,0
26730.8,1024,0
26732.1,512,0
27112.3,1024,0
27113.6,512,0
27303,768,0
27494.8,1024,0
27495,512,0
27684.5,768,0
27685.8,512,0
27876.3,768,0
27876.5,512,256
27877.5,512,0
28066,768,0
28067.2,512,0
28255.7,768,0
28258,512,256
28259,512,0
28446.5,768,0
28448.7,512,256
28449.7,512,0
28639.4,256,256
28640.4,256,0
28827.9,768,0
28830.2,512,256
28831.2,512,0
29209.4,1024,0
29211.6,512,512
29212.6,512,0
29590.9,1024,0
29593.1,512,512
29594.1,512,0
29973.3,1024,0
29974.6,512,0
30354.8,1024,0
30356.1,512,0
30736.3,1024,0
30737.5,512,0
31117.7,1024,0
31119,512,0
31308.5,768,0
31500.2,1024,0
31500.5,512,0
31689.9,768,0
31691.2,512,0
31881.7,768,0
31881.9,512,256
31882.9,512,0
32071.4,768,0
32072.7,512,0
32261.2,768,0
32263.4,512,256
32264.4,512,0
32451.9,768,0
32454.1,512,256
32455.1,512,0
32642.6,768,0
32644.9,512,256
32645.9,512,0
32835.6,256,256
32836.6,256,0
33024.1,768,0
33026.3,512,256
33027.3,512,0
33405.6,1024,0
33407.8,512,512
33408.8,512,0
33787,1024,0
33789.3,512,512
33790.3,512,0
34169.5,1024,0
34170.8,512,0
34551,1024,0
34552.2,512,0
34932.4,1024,0
34933.7,512,0
35313.9,1024,0
35315.2,512,0
35695.4,1024,0
35696.6,512,0
35886.1,768,0
36077.8,1024,0
36078.1,512,0
36267.6,768,0
36268.8,512,0
36459.3,768,0
36459.6,512,256
36460.6,512,0
36649.1,768,0
36650.3,512,0
36838.8,768,0
36841,512,256
36842,512,0
37029.5,768,0
37031.8,512,256
37032.8,512,0
37220.3,768,0
37222.5,512,256
37223.5,512,0
37411,768,0
37413.2,512,256
37414.2,512,0
37604,256,256
37605,256,0
37792.5,768,0
37794.7,512,256
37795.7,512,0
38173.9,1024,0
38176.2,512,512
38177.2,512,0
38555.4,1024,0
38557.7,512,512
38558.7,512,0
38937.9,1024,0
38939.1,512,0
39128.6,768,0
39320.6,256,0
39511.3,0,0
40092.8,512,0
40285.5,768,0
40474.2,256,0
40476.2,512,0
40665,256,256
40666,256,0
40855.7,0,256
40856.7,0,0
41245.7,512,0
41626.9,1024,0
41627.1,512,0
41817.6,768,0
42008.4,1024,0
42008.6,512,512
42009.6,512,0
42198.1,768,0
42199.3,512,0
42389.8,768,0
42390.1,512,256
42391.1,512,0
42580.8,256,0
42769.3,768,0
42771.6,512,256
42772.6,512,0
43150.8,1024,0
43153,512,512
43154,512,0
43532.2,1024,0
43534.5,512,512
43535.5,512,0
43914.7,1024,0
43916,512,0
44105.4,768,0
44297.2,1024,0
44297.4,512,0
44486.9,768,0
44488.2,512,0
44678.6,768,0
44678.9,512,256
44679.9,512,0
44868.4,768,0
44869.6,512,0
45060.4,256,256
45061.4,256,0
45248.8,768,0
45251.1,512,256
45252.1,512,0
45630.3,1024,0
45632.6,512,512
45633.6,512,0
46011.8,1024,0
46014,512,512
46015,512,0
46394.3,1024,0
46395.5,512,0
46775.7,1024,0
46777,512,0
46966.5,768,0
47158.2,1024,0
47158.5,512,0
47347.9,768,0
47349.2,512,0
47539.7,768,0
47539.9,512,256
47540.9,512,0
47729.4,768,0
47730.7,512,0
47919.1,768,0
47921.4,512,256
47922.4,512,0
48112.1,256,256
48113.1,256,0
48300.6,768,0
48302.9,512,256
48303.9,512,0
48682.1,1024,0
48684.3,512,512
48685.3,512,0
49063.5,1024,0
49065.8,512,512
49066.8,512,0
49446,1024,0
49447.3,512,0
49827.5,1024,0
49828.7,512,0
50209,1024,0
50210.2,512,0
50399.7,768,0
50591.4,1024,0
50591.7,512,0
50781.2,768,0
50782.4,512,0
50972.9,768,0
50973.1,512,256
50974.1,512,0
51162.6,768,0
51163.9,512,0
51352.4,768,0
51354.6,512,256
51355.6,512,0
51543.1,768,0
51545.4,512,256
51546.4,512,0
51736.1,256,256
51737.1,256,0
51924.6,768,0
51926.8,512,256
51927.8,512,0
52306,1024,0
52308.3,512,512
52309.3,512,0
52687.5,1024,0
52689.8,512,512
52690.8,512,0
53070,1024,0
53071.2,512,0
53451.4,1024,0
53452.7,512,0
53832.9,1024,0
53834.2,512,0
54214.4,1024,0
54215.6,512,0
54405.1,768,0
54596.9,1024,0
54597.1,512,0
54786.6,768,0
54787.8,512,0
54978.3,768,0
54978.6,512,256
54979.6,512,0
55168.1,768,0
55169.3,512,0
55357.8,768,0
55360.1,512,256
55361.1,512,0
55548.5,768,0
55550.8,512,256
55551.8,512,0
55739.3,768,0
55741.5,512,256
55742.5,512,0
55932.3,256,256
55933.3,256,0
56120.7,768,0
56123,512,256
56124,512,0
56502.2,1024,0
56504.5,512,512
56505.5,512,0
56883.7,1024,0
56885.9,512,512
56886.9,512,0
57266.1,1024,0
57267.4,512,0
57647.6,1024,0
57648.9,512,0
58029.1,1024,0
58030.3,512,0
58410.6,1024,0
58411.8,512,0
58792,1024,0
58793.3,512,0
58982.8,768,0
59174.5,1024,0
59174.7,512,0
59364.2,768,0
59365.5,512,0
59556,768,0
59556.2,512,256
59557.2,512,0
59745.7,768,0
59747,512,0
59935.4,768,0
59937.7,512,256
59938.7,512,0
60126.2,768,0
60128.4,512,256
60129.4,512,0
60316.9,768,0
60319.2,512,256
60320.2,512,0
60507.6,768,0
60509.9,512,256
60510.9,512,0
60700.6,256,256
60701.6,256,0
60889.1,768,0
60891.4,512,256
60892.4,512,0
61270.6,1024,0
61272.8,512,512
61273.8,512,0
61652,1024,0
61654.3,512,512
61655.3,512,0
62034.5,1024,0
62035.8,512,0
62225.3,768,0
62417.2,256,0
62608,0,0
63188.4,256,0
63379.2,0,0
63381.2,256,0
63571.9,0,256
63572.9,0,0
63768.9,256,0
63959.6,256,256
63960.6,256,0
64150.3,0,256
64151.3,0,0
64152.3,256,0
64341.1,512,0
64343.1,256,256
64344.1,256,0
64531.8,512,0
64533.8,256,256
64534.8,256,0
64722.5,512,0
64724.5,256,256
64725.5,256,0
64913.3,512,0
64915.3,256,256
64916.3,256,0
65104,512,0
65106,256,256
65107,256,0
65294.7,512,0
65296.7,256,256
65297.7,256,0
65485.5,512,0
65487.5,256,256
65488.5,256,0
