Time,from_ingress_queue_size,to_ingress_queue_size
1,4096,nan
3052.76,0,0
6110.01,4096,0
6111.01,8192,0
9161.76,4096,0
12213.5,0,0
12218,4096,0
12219,8192,0
15269.8,4096,0
15270.8,8192,0
15271.8,12288,0
18321.5,8192,0
18325.5,12288,0
18326.5,16384,0
21373.3,12288,0
21377.3,16384,0
21378.3,16384,0
24425,12288,0
24429,16384,0
24430,16384,0
27476.8,12288,0
27480.8,16384,0
27481.8,16384,0
30528.6,12288,0
30532.6,16384,0
33580.3,12288,0
33584.3,16384,0
36632.1,12288,0
36636.1,16384,0
39683.8,12288,0
39687.8,16384,0
42002.1,16384,0
42735.6,12288,0
45787.3,8192,0
46268.8,12288,0
48839.1,8192,0
51890.9,4096,0
51894.9,8192,0
54759.6,12288,0
54942.6,8192,0
54946.6,12288,0
57994.4,8192,0
57998.4,12288,0
61046.1,8192,0
61050.1,12288,0
64097.9,8192,0
64101.9,12288,0
67149.7,8192,0
67153.7,12288,0
70201.4,8192,0
70205.4,12288,0
70206.4,16384,0
73253.2,12288,0
73257.2,16384,0
76304.9,12288,0
76308.9,16384,0
79356.7,12288,0
79360.7,16384,0
82135,16384,0
82408.4,12288,0
85460.2,8192,0
88512,4096,0
88516,8192,0
91563.7,4096,0
91567.7,8192,0
94615.5,4096,0
94619.5,8192,0
97667.2,4096,0
97671.2,8192,0
100719,4096,0
100723,8192,0
103771,4096,0
103775,8192,0
103776,12288,0
106823,8192,0
106827,12288,0
109874,8192,0
109878,12288,0
112926,8192,0
112930,12288,0
113944,16384,0
115978,12288,0
119030,8192,0
122081,4096,0
122085,8192,0
125133,4096,0
125137,8192,0
128185,4096,0
128189,8192,0
131237,4096,0
131241,8192,0
131242,12288,0
134288,8192,0
134292,12288,0
137340,8192,0
137344,12288,0
140392,8192,0
140396,12288,0
143444,8192,0
143448,12288,0
143449,16384,0
146495,12288,0
146499,16384,0
149547,12288,0
149551,16384,0
152599,12288,0
152603,16384,0
155651,12288,0
155655,16384,0
158702,12288,0
158706,16384,0
161754,12288,0
161758,16384,0
161759,16384,0
164806,12288,0
164810,16384,0
167858,12288,0
167862,16384,0
170909,12288,0
170913,16384,0
173961,12288,0
173965,16384,0
177013,12288,0
177017,16384,0
180065,12288,0
180069,16384,0
180070,16384,0
183116,12288,0
183120,16384,0
186168,12288,0
186172,16384,0
189220,12288,0
189224,16384,0
192272,12288,0
192276,16384,0
195323,12288,0
195327,16384,0
196879,16384,0
198375,12288,0
201427,8192,0
204479,4096,0
207531,0,0
207535,4096,0
210586,0,4096
210587,4096,4096
210588,4096,0
213639,0,0
213644,4096,0
215985,8192,0
216696,4096,0
219747,0,0
219752,4096,0
222804,0,0
222805,4096,0
225856,0,0
225860,4096,0
228912,0,0
228914,4096,0
231001,8192,0
231965,4096,0
235017,0,0
235022,4096,0
238073,0,0
238074,4096,0
241126,0,0
241130,4096,0
241131,8192,0
244182,4096,0
244183,8192,0
247233,4096,0
247238,8192,0
250285,4096,0
250290,8192,0
250291,12288,0
253337,8192,0
253341,12288,0
256389,8192,0
256393,12288,0
259440,8192,0
259445,12288,0
262492,8192,0
262497,12288,0
265544,8192,0
265548,12288,0
265549,16384,0
268596,12288,0
268600,16384,0
271647,12288,0
271652,16384,0
274699,12288,0
274704,16384,0
277751,12288,0
277755,16384,0
280803,12288,0
280807,16384,0
280808,16384,0
283854,12288,0
283859,16384,0
286906,12288,0
286911,16384,0
289958,12288,0
289962,16384,0
293010,12288,0
293014,16384,0
296061,12288,0
296066,16384,0
299113,12288,0
299118,16384,0
299119,16384,0
302165,12288,0
302169,16384,0
305217,12288,0
305221,16384,0
308268,12288,0
308273,16384,0
311320,12288,0
311325,16384,0
314372,12288,0
314376,16384,0
315606,16384,0
317424,12288,0
320476,8192,0
323527,4096,0
326579,0,0
326584,4096,0
329635,0,0
329636,4096,0
332688,0,0
332692,4096,0
335744,0,0
335745,4096,0
336424,8192,0
338797,4096,0
341849,0,0
341853,4096,0
344905,0,0
344906,4096,0
347958,0,0
347962,4096,0
350754,8192,0
351013,4096,0
354065,0,0
354070,4096,0
357121,0,0
357122,4096,0
360174,0,0
360178,4096,0
360179,8192,0
363230,4096,0
363231,8192,0
366281,4096,0
366286,8192,0
369333,4096,0
369338,8192,0
369339,12288,0
372385,8192,0
372389,12288,0
375437,8192,0
375441,12288,0
378488,8192,0
378493,12288,0
381540,8192,0
381545,12288,0
384592,8192,0
384596,12288,0
384597,16384,0
387644,12288,0
387648,16384,0
390695,12288,0
390700,16384,0
393747,12288,0
393752,16384,0
396799,12288,0
396803,16384,0
399851,12288,0
399855,16384,0
399856,16384,0
402902,12288,0
402907,16384,0
405954,12288,0
405959,16384,0
409006,12288,0
409010,16384,0
412058,12288,0
412062,16384,0
415109,12288,0
415114,16384,0
418161,12288,0
418166,16384,0
418167,16384,0
421213,12288,0
421217,16384,0
424265,12288,0
424269,16384,0
427316,12288,0
427321,16384,0
430368,12288,0
430373,16384,0
433420,12288,0
433424,16384,0
434661,16384,0
436472,12288,0
439524,8192,0
442575,4096,0
445627,0,0
445632,4096,0
448683,0,0
448684,4096,0
451736,0,0
451740,4096,0
454792,0,0
454793,4096,0
455474,8192,0
457845,4096,0
460897,0,0
460901,4096,0
463953,0,0
463954,4096,0
467006,0,0
467010,4096,0
469810,8192,0
470061,4096,0
473113,0,0
473118,4096,0
476169,0,0
476170,4096,0
479222,0,0
479226,4096,0
479227,8192,0
482278,4096,0
482279,8192,0
485329,4096,0
485334,8192,0
488381,4096,0
488386,8192,0
488387,12288,0
491433,8192,0
491437,12288,0
494485,8192,0
494489,12288,0
497536,8192,0
497541,12288,0
500588,8192,0
500593,12288,0
503640,8192,0
503644,12288,0
503645,16384,0
506692,12288,0
506696,16384,0
509743,12288,0
509748,16384,0
512795,12288,0
512800,16384,0
515847,12288,0
515851,16384,0
518899,12288,0
518903,16384,0
518904,16384,0
521950,12288,0
521955,16384,0
525002,12288,0
525007,16384,0
528054,12288,0
528058,16384,0
531106,12288,0
531110,16384,0
534157,12288,0
534162,16384,0
537209,12288,0
537214,16384,0
537215,16384,0
540261,12288,0
540265,16384,0
543313,12288,0
543317,16384,0
546364,12288,0
546369,16384,0
549416,12288,0
549421,16384,0
552468,12288,0
552472,16384,0
553710,16384,0
555520,12288,0
558572,8192,0
561623,4096,0
564675,0,0
564680,4096,0
567731,0,0
567732,4096,0
570784,0,0
570788,4096,0
573840,0,0
573841,4096,0
574523,8192,0
576893,4096,0
579945,0,0
579949,4096,0
583001,0,0
583002,4096,0
586054,0,0
586058,4096,0
588859,8192,0
589109,4096,0
592161,0,0
592166,4096,0
595217,0,0
595218,4096,0
598270,0,0
598274,4096,0
598275,8192,0
601326,4096,0
601327,8192,0
604377,4096,0
604382,8192,0
607429,4096,0
607434,8192,0
610481,4096,0
613533,0,0
