Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 20.2752, 19.6847, 378497

conn2_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 24.4093, 23.6983, 314393

conn3_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 23.3297, 22.6501, 328942

conn4_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 19.9343, 19.3537, 384969

conn5_flow1, 10000, 1040000, 1000000, 4, 40000, 4, 20.5529, 19.7624, 377009
