Time,from_ingress_queue_size,to_ingress_queue_size
1935.19,1,nan
1935.27,0,0
5659.48,1,0
5659.56,0,0
8642.71,1,0
8642.79,0,0
15348.7,1,0
15348.7,0,0
16839.4,1,0
16839.4,0,0
17584.4,1,0
17584.5,0,0
19819.6,1,0
19819.7,0,0
20564.6,1,0
20564.7,0,0
28760.3,1,0
28760.4,0,0
32481.6,1,0
32481.6,0,0
33226.6,1,0
33226.7,0,0
39187.1,1,0
39187.2,0,0
47382.7,1,0
47382.8,0,0
48871.8,1,0
48871.9,0,0
57068.5,1,0
57068.6,0,0
58557.6,1,0
58557.7,0,0
69734.5,1,0
69734.5,0,0
71228.6,1,0
71228.7,0,0
71972.6,1,0
71972.7,0,0
86874.8,1,0
86874.9,0,0
87619.9,1,0
87619.9,0,0
101031,1,0
101031,0,0
101773,1,0
101773,0,0
102521,1,0
102521,0,0
112203,1,0
112203,0,0
113692,1,0
113692,0,0
124124,1,0
124124,0,0
125613,1,0
125613,0,0
138284,1,0
138284,0,0
139029,1,0
139029,0,0
149456,1,0
149456,0,0
150201,1,0
150201,0,0
161377,1,0
161377,0,0
162122,1,0
162122,0,0
163611,1,0
163611,0,0
177027,1,0
177027,0,0
177772,1,0
177772,0,0
179257,1,0
179257,0,0
180006,1,0
180006,0,0
194163,1,0
194163,0,0
194908,1,0
194908,0,0
196393,1,0
196393,0,0
206081,1,0
206081,0,0
207569,1,0
207569,0,0
208318,1,0
208318,0,0
220237,1,0
220237,0,0
221727,1,0
221727,0,0
222470,1,0
222470,0,0
232903,1,0
232903,0,0
235141,1,0
235141,0,0
236626,1,0
236627,0,0
237372,1,0
237372,0,0
247804,1,0
247804,0,0
248549,1,0
248549,0,0
250038,1,0
250038,0,0
261215,1,0
261215,0,0
261960,1,0
261961,0,0
263449,1,0
263449,0,0
274629,1,0
274630,0,0
275374,1,0
275375,0,0
285056,1,0
285056,0,0
285802,1,0
285802,0,0
297722,1,0
297722,0,0
298468,1,0
298468,0,0
299956,1,0
299956,0,0
311882,1,0
311882,0,0
312624,1,0
312624,0,0
314113,1,0
314113,0,0
314862,1,0
314862,0,0
323800,1,0
323800,0,0
324545,1,0
324545,0,0
326033,1,0
326034,0,0
326779,1,0
326779,0,0
333486,1,0
333486,0,0
334231,1,0
334231,0,0
335719,1,0
335719,0,0
336468,1,0
336468,0,0
343172,1,0
343172,0,0
344662,1,0
344662,0,0
346155,1,0
346155,0,0
349877,1,0
349877,0,0
352112,1,0
352113,0,0
352858,1,0
352858,0,0
353601,1,0
353601,0,0
356583,1,0
356583,0,0
358818,1,0
358818,0,0
359563,1,0
359563,0,0
360306,1,0
360306,0,0
361796,1,0
361796,0,0
364033,1,0
364033,0,0
367014,1,0
367014,0,0
367759,1,0
367759,0,0
368502,1,0
368502,0,0
369992,1,0
369992,0,0
372229,1,0
372229,0,0
373717,1,0
373717,0,0
376702,1,0
376702,0,0
377447,1,0
377448,0,0
378188,1,0
378188,0,0
379683,1,0
379683,0,0
381918,1,0
381918,0,0
383408,1,0
383408,0,0
384153,1,0
384153,0,0
385643,1,0
385643,0,0
