Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 25.0606, 24.3307, 306222

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9237, 19.3434, 385174

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.127, 21.4825, 346821

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.8824, 21.2451, 350696

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1937, 19.417, 383714
