Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9223, 19.342, 385202

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.0673, 23.3663, 318860

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.4363, 20.812, 357995

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.5303, 19.9324, 373793

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 22.6576, 21.7862, 341987
