Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
1,512,nan
190.73486328125,256,nan
381.4697265625,0,nan
1190.73486328125,0,0
1381.4697265625,0,256
1383.4697265625,0,0
2000,256,0
2001,512,0
2190.73486328125,256,0
2381.4697265625,0,0
3190.73486328125,0,256
3192.73486328125,0,0
3381.4697265625,0,256
3383.4697265625,0,0
4574.694705963135,256,0
4765.429569244385,0,0
4957.164432525635,256,0
5147.899295806885,0,0
5765.429569244385,0,0
6147.899295806885,0,0
9149.38941192627,256,0
9340.12427520752,0,0
9532.85913848877,256,0
9723.59400177002,0,0
10340.12427520752,0,0
10723.59400177002,0,256
10725.59400177002,0,0
13724.084117889404,256,0
13725.084117889404,512,0
13914.818981170654,256,0
14105.553844451904,0,0
14110.553844451904,256,0
14111.553844451904,512,0
14301.288707733154,256,0
14492.023571014404,0,0
14914.818981170654,0,0
15105.553844451904,0,256
15107.553844451904,0,0
15301.288707733154,0,256
15303.288707733154,0,0
15492.023571014404,0,256
15494.023571014404,0,0
18298.77882385254,256,0
18489.51368713379,0,0
18681.24855041504,256,0
18871.98341369629,0,0
19062.71827697754,256,0
19253.45314025879,0,0
19444.18800354004,256,0
19489.51368713379,256,0
19634.92286682129,0,0
19871.98341369629,0,256
19873.98341369629,0,0
20253.45314025879,0,256
20255.45314025879,0,0
20634.92286682129,0,256
20636.92286682129,0,0
22873.473529815674,256,0
23064.208393096924,0,0
23258.943256378174,256,0
23449.678119659424,0,0
23640.412982940674,256,0
23831.147846221924,0,0
24021.882709503174,256,0
24064.208393096924,256,0
24212.617572784424,0,0
24449.678119659424,0,256
24451.678119659424,0,0
24831.147846221924,0,256
24833.147846221924,0,0
25212.617572784424,0,256
25214.617572784424,0,0
27448.16823577881,256,0
27449.16823577881,512,0
27638.90309906006,256,0
27829.63796234131,0,0
27836.63796234131,256,0
28027.37282562256,0,0
28218.10768890381,256,0
28408.84255218506,0,0
28599.57741546631,256,0
28600.57741546631,512,0
28638.90309906006,512,0
28790.31227874756,256,0
28829.63796234131,256,256
28831.63796234131,256,0
28981.04714202881,0,0
29027.37282562256,0,256
29029.37282562256,0,0
29408.84255218506,0,256
29410.84255218506,0,0
29790.31227874756,0,256
29792.31227874756,0,0
29981.04714202881,0,256
29983.04714202881,0,0
32022.862941741943,256,0
32213.597805023193,0,0
32405.332668304443,256,0
32596.067531585693,0,0
32786.80239486694,256,0
32977.53725814819,0,0
33168.27212142944,256,0
33213.59780502319,256,0
33359.00698471069,0,0
33549.74184799194,256,0
33596.06753158569,256,256
33598.06753158569,256,0
33740.47671127319,0,0
33931.21157455444,256,0
33977.53725814819,256,256
33979.53725814819,256,0
34121.94643783569,0,0
34359.00698471069,0,256
34361.00698471069,0,0
34740.47671127319,0,256
34742.47671127319,0,0
35121.94643783569,0,256
35123.94643783569,0,0
36597.55764770508,256,0
36788.29251098633,0,0
36983.02737426758,256,0
37173.76223754883,0,0
37364.49710083008,256,0
37555.23196411133,0,0
37745.96682739258,256,0
37788.29251098633,256,0
37936.70169067383,0,0
38127.43655395508,256,0
38173.76223754883,256,256
38175.76223754883,256,0
38318.17141723633,0,0
38508.90628051758,256,0
38555.23196411133,256,256
38557.23196411133,256,0
38699.64114379883,0,0
38936.70169067383,0,256
38938.70169067383,0,0
39318.17141723633,0,256
39320.17141723633,0,0
39699.64114379883,0,256
39701.64114379883,0,0
41172.25235366821,256,0
41362.98721694946,0,0
41560.72208023071,256,0
41561.72208023071,512,0
41751.45694351196,256,0
41942.19180679321,256,0
42132.92667007446,0,0
42323.66153335571,256,0
42362.98721694946,256,0
42514.39639663696,0,0
42705.13125991821,256,0
42751.45694351196,256,256
42753.45694351196,256,0
42895.86612319946,0,0
42942.19180679321,0,256
42944.19180679321,0,0
43086.60098648071,256,0
43132.92667007446,256,256
43134.92667007446,256,0
43277.33584976196,0,0
43514.39639663696,0,256
43516.39639663696,0,0
43895.86612319946,0,256
43897.86612319946,0,0
44277.33584976196,0,256
44279.33584976196,0,0
45746.94705963135,256,0
45937.6819229126,0,0
46138.41678619385,256,0
46329.1516494751,0,0
46519.88651275635,256,0
46710.6213760376,0,0
46901.35623931885,256,0
46937.6819229126,256,0
47092.0911026001,0,0
47282.82596588135,256,0
47329.1516494751,256,0
47473.5608291626,0,0
47664.29569244385,256,0
47710.6213760376,256,256
47712.6213760376,256,0
47855.0305557251,0,0
48044.76541900635,256,0
48092.0911026001,256,256
48094.0911026001,256,0
48235.5002822876,0,0
48473.5608291626,0,256
48475.5608291626,0,0
48855.0305557251,0,256
48857.0305557251,0,0
49235.5002822876,0,256
49237.5002822876,0,0
50321.64176559448,256,0
50512.37662887573,0,0
50714.11149215698,256,0
50904.84635543823,0,0
51097.58121871948,256,0
51288.31608200073,0,0
51479.05094528198,256,0
51512.37662887573,256,0
51669.78580856323,0,0
51860.52067184448,256,0
51904.84635543823,256,0
52051.25553512573,0,0
52241.99039840698,256,0
52242.99039840698,512,0
52288.31608200073,512,256
52290.31608200073,512,0
52432.72526168823,256,0
52622.46012496948,512,0
52623.46012496948,256,0
52669.78580856323,256,256
52671.78580856323,256,0
52814.19498825073,0,0
53051.25553512573,0,256
53053.25553512573,0,0
53432.72526168823,0,256
53434.72526168823,0,0
53623.46012496948,0,256
53625.46012496948,0,0
53814.19498825073,0,256
53816.19498825073,0,0
54896.33647155762,256,0
55087.07133483887,0,0
55289.80619812012,256,0
55480.54106140137,0,0
55675.27592468262,256,0
55676.27592468262,512,0
55866.01078796387,256,0
56056.74565124512,256,0
56087.07133483887,256,0
56247.48051452637,0,0
56438.21537780762,256,0
56480.54106140137,256,0
56628.95024108887,0,0
56819.68510437012,256,0
56866.01078796387,256,0
57010.41996765137,0,0
57056.74565124512,0,256
57058.74565124512,0,0
57200.15483093262,256,0
57247.48051452637,256,256
57249.48051452637,256,0
57390.88969421387,0,0
57581.62455749512,256,0
57628.95024108887,256,256
57630.95024108887,256,0
57772.35942077637,0,0
58010.41996765137,0,256
58012.41996765137,0,0
58390.88969421387,0,256
58392.88969421387,0,0
58772.35942077637,0,0
59471.03117752075,256,0
59661.766040802,0,0
59864.50090408325,256,0
60055.2357673645,0,0
60250.97063064575,256,0
60441.705493927,0,0
60632.44035720825,256,0
60661.766040802,256,0
60823.1752204895,0,0
61013.91008377075,256,0
61055.2357673645,256,0
61204.644947052,0,0
61395.37981033325,256,0
61441.705493927,256,0
61586.1146736145,0,0
61775.84953689575,256,0
61823.1752204895,256,0
61966.584400177,0,0
62157.31926345825,256,0
62204.644947052,256,256
62206.644947052,256,0
62348.0541267395,0,0
62538.78899002075,256,0
62586.1146736145,256,256
62588.1146736145,256,0
62729.523853302,0,0
62966.584400177,0,256
62968.584400177,0,0
63348.0541267395,0,0
63729.523853302,0,0
64045.72588348389,256,0
64236.46074676514,0,0
64439.19561004639,256,0
64629.93047332764,0,0
64825.66533660889,256,0
65016.40019989014,0,0
65208.13506317139,256,0
65236.46074676514,256,0
65398.86992645264,0,0
65591.60478973389,256,0
65629.93047332764,256,0
65782.33965301514,0,0
65973.07451629639,256,0
66016.40019989014,256,0
66163.80937957764,0,0
66353.54424285889,256,0
66398.86992645264,256,0
66544.27910614014,0,0
66735.01396942139,256,0
66782.33965301514,256,256
66784.33965301514,256,0
66925.74883270264,0,0
67116.48369598389,256,0
67163.80937957764,256,256
67165.80937957764,256,0
67307.21855926514,0,0
67544.27910614014,0,256
67546.27910614014,0,0
67925.74883270264,0,0
68307.21855926514,0,0
68620.42058944702,256,0
68811.15545272827,0,0
69013.89031600952,256,0
69204.62517929077,0,0
69400.36004257202,256,0
69401.36004257202,512,0
69591.09490585327,256,0
69781.82976913452,0,0
69783.82976913452,256,0
69811.15545272827,256,0
69974.56463241577,0,0
70169.29949569702,256,0
70204.62517929077,256,0
70360.03435897827,0,0
70550.76922225952,256,0
70591.09490585327,256,0
70741.50408554077,0,0
70781.82976913452,0,0
70931.23894882202,256,0
70974.56463241577,256,256
70976.56463241577,256,0
71121.97381210327,0,0
71312.70867538452,256,0
71313.70867538452,512,0
71360.03435897827,512,256
71362.03435897827,512,0
71503.44353866577,256,0
71694.17840194702,256,0
71741.50408554077,256,256
71743.50408554077,256,0
71884.91326522827,0,0
72121.97381210327,0,256
72123.97381210327,0,0
72503.44353866577,0,0
72694.17840194702,0,0
72884.91326522827,0,256
72886.91326522827,0,0
73195.11529541016,256,0
73385.8501586914,0,0
73588.58502197266,256,0
73779.3198852539,0,0
73975.05474853516,256,0
74165.7896118164,0,0
74357.52447509766,256,0
74385.8501586914,256,0
74548.2593383789,0,0
74738.99420166016,256,0
74779.3198852539,256,0
74929.7290649414,0,0
75120.46392822266,256,0
75165.7896118164,256,0
75311.1987915039,0,0
75548.2593383789,0,0
75882.40338134766,256,0
75929.7290649414,256,0
76073.1382446289,0,0
76263.87310791016,256,0
76311.1987915039,256,0
76454.6079711914,0,0
76645.34283447266,256,0
76836.0776977539,0,0
77026.81256103516,256,0
77073.1382446289,256,0
77217.5474243164,0,0
77454.6079711914,0,0
77769.81000137329,256,0
77836.0776977539,256,0
77960.54486465454,0,0
78163.27972793579,256,0
78217.5474243164,256,0
78354.01459121704,0,0
78549.74945449829,256,0
78740.48431777954,0,0
78932.21918106079,256,0
78960.54486465454,256,0
79122.95404434204,0,0
79313.68890762329,256,0
79354.01459121704,256,256
79356.01459121704,256,0
79504.42377090454,0,0
79696.15863418579,256,0
79740.48431777954,256,0
79886.89349746704,0,0
80122.95404434204,0,0
80457.09808731079,256,0
80458.09808731079,512,0
80504.42377090454,512,0
80647.83295059204,256,0
80838.56781387329,256,0
80886.89349746704,256,0
81029.30267715454,0,0
81220.03754043579,256,0
81410.77240371704,0,0
81601.50726699829,256,0
81647.83295059204,256,0
81792.24213027954,0,0
81838.56781387329,0,0
82029.30267715454,0,256
82031.30267715454,0,0
82344.50470733643,256,0
82410.77240371704,256,0
82535.23957061768,0,0
82739.97443389893,256,0
82792.24213027954,256,0
82930.70929718018,0,0
83124.44416046143,256,0
83315.17902374268,0,0
83506.91388702393,256,0
