Time,from_ingress_queue_size,to_ingress_queue_size
6103.515625,1,nan
6104.260683059692,0,1
6105.515625,0,0
9156.2734375,1,0
9157.018495559692,0,0
12208.03125,1,0
12208.776308059692,0,0
15259.7890625,1,0
15260.534120559692,0,0
18311.546875,1,0
18312.291933059692,0,1
18313.291933059692,0,0
21366.049745559692,1,0
21366.794803619385,0,0
24419.552616119385,1,0
24420.297674179077,0,0
27473.055486679077,1,0
27473.80054473877,0,1
27474.055486679077,0,0
30524.813299179077,1,0
30525.55835723877,0,0
33576.57111167908,1,0
33577.31616973877,0,0
36628.32892417908,1,0
36629.07398223877,0,0
39680.08673667908,1,0
39680.83179473877,0,0
42731.84454917908,1,0
42732.58960723877,0,0
45783.60236167908,1,0
45784.34741973877,0,0
48835.36017417908,1,0
48836.10523223877,0,0
51887.11798667908,1,0
51887.86304473877,0,0
54938.87579917908,1,0
54939.62085723877,0,0
57990.63361167908,1,0
57991.37866973877,0,0
61042.39142417908,1,0
61043.13648223877,0,0
64094.14923667908,1,0
64094.89429473877,0,0
67145.90704917908,1,0
67146.65210723877,0,0
70197.66486167908,1,0
70198.40991973877,0,0
73249.42267417908,1,0
73250.16773223877,0,0
76301.18048667908,1,0
76301.92554473877,0,0
79352.93829917908,1,0
79353.68335723877,0,0
82404.69611167908,1,0
82405.44116973877,0,0
85456.45392417908,1,0
85457.19898223877,0,0
88508.21173667908,1,0
88508.95679473877,0,0
91559.96954917908,1,0
91560.71460723877,0,0
94611.72736167908,1,0
94612.47241973877,0,0
97663.48517417908,1,0
97664.23023223877,0,0
100715.24298667908,1,0
100715.98804473877,0,0
103767.00079917908,1,0
103767.74585723877,0,0
106818.75861167908,1,0
106819.50366973877,0,0
109870.51642417908,1,0
109871.26148223877,0,1
109872.26148223877,0,0
112925.01929473877,1,0
112925.76435279846,0,0
115978.52216529846,1,0
115979.26722335815,0,0
119032.02503585815,1,0
119032.77009391785,0,0
122085.52790641785,1,0
122086.27296447754,0,1
122086.52790641785,0,0
125137.28571891785,1,0
125138.03077697754,0,1
125139.03077697754,0,0
128191.78858947754,1,0
128192.53364753723,0,0
131245.29146003723,1,0
131246.03651809692,0,0
134298.79433059692,1,0
134299.53938865662,0,1
134299.79433059692,0,0
137350.55214309692,1,0
137351.29720115662,0,1
137352.29720115662,0,0
140405.05501365662,1,0
140405.8000717163,0,0
143458.5578842163,1,0
143459.302942276,0,0
146512.060754776,1,0
146512.8058128357,0,1
146513.060754776,0,0
149563.818567276,1,0
149564.5636253357,0,0
152615.576379776,1,0
152616.3214378357,0,0
155667.334192276,1,0
155668.0792503357,0,0
158719.092004776,1,0
158719.8370628357,0,0
161770.849817276,1,0
161771.5948753357,0,0
164822.607629776,1,0
164823.3526878357,0,0
167874.365442276,1,0
167875.1105003357,0,0
170926.123254776,1,0
170926.8683128357,0,0
173977.881067276,1,0
173978.6261253357,0,0
177029.638879776,1,0
177030.3839378357,0,0
180081.396692276,1,0
180082.1417503357,0,0
183133.154504776,1,0
183133.8995628357,0,0
186184.912317276,1,0
186185.6573753357,0,0
189236.670129776,1,0
189237.4151878357,0,0
192288.427942276,1,0
192289.1730003357,0,0
195340.185754776,1,0
195340.9308128357,0,0
198391.943567276,1,0
198392.6886253357,0,0
201443.701379776,1,0
201444.4464378357,0,0
204495.459192276,1,0
204496.2042503357,0,0
207547.217004776,1,0
207547.9620628357,0,0
210598.974817276,1,0
210599.7198753357,0,0
213650.732629776,1,0
213651.4776878357,0,0
216702.490442276,1,0
216703.2355003357,0,0
219754.248254776,1,0
219754.9933128357,0,0
222806.006067276,1,0
222806.7511253357,0,0
225857.763879776,1,0
225858.5089378357,0,0
228909.521692276,1,0
228910.2667503357,0,1
228911.2667503357,0,0
231964.0245628357,1,0
231964.7696208954,0,0
235017.5274333954,1,0
235018.27249145508,0,0
238071.03030395508,1,0
238071.77536201477,0,0
241124.53317451477,1,0
241125.27823257446,0,1
241125.53317451477,0,0
244176.29098701477,1,0
244177.03604507446,0,1
244178.03604507446,0,0
247230.79385757446,1,0
247231.53891563416,0,0
250284.29672813416,1,0
250285.04178619385,0,0
253337.79959869385,1,0
253338.54465675354,0,1
253338.79959869385,0,0
256389.55741119385,1,0
256390.30246925354,0,1
256391.30246925354,0,0
259444.06028175354,1,0
259444.80533981323,0,0
262497.56315231323,1,0
262498.3082103729,0,0
265551.0660228729,1,0
265551.8110809326,0,1
265552.0660228729,0,0
268602.8238353729,1,0
268603.5688934326,0,0
271654.5816478729,1,0
271655.3267059326,0,0
274706.3394603729,1,0
274707.0845184326,0,0
277758.0972728729,1,0
277758.8423309326,0,0
280809.8550853729,1,0
280810.6001434326,0,0
283861.6128978729,1,0
283862.3579559326,0,0
286913.3707103729,1,0
286914.1157684326,0,0
289965.1285228729,1,0
289965.8735809326,0,0
293016.8863353729,1,0
293017.6313934326,0,0
296068.6441478729,1,0
296069.3892059326,0,0
299120.4019603729,1,0
299121.1470184326,0,0
302172.1597728729,1,0
302172.9048309326,0,0
305223.9175853729,1,0
305224.6626434326,0,0
308275.6753978729,1,0
308276.4204559326,0,0
311327.4332103729,1,0
311328.1782684326,0,0
314379.1910228729,1,0
314379.9360809326,0,0
317430.9488353729,1,0
317431.6938934326,0,0
320482.7066478729,1,0
320483.4517059326,0,0
323534.4644603729,1,0
323535.2095184326,0,0
326586.2222728729,1,0
326586.9673309326,0,0
329637.9800853729,1,0
329638.7251434326,0,0
332689.7378978729,1,0
332690.4829559326,0,0
335741.4957103729,1,0
335742.2407684326,0,0
338793.2535228729,1,0
338793.9985809326,0,0
341845.0113353729,1,0
341845.7563934326,0,0
344896.7691478729,1,0
344897.5142059326,0,0
347948.5269603729,1,0
347949.2720184326,0,1
347950.2720184326,0,0
351003.0298309326,1,0
351003.7748889923,0,0
354056.5327014923,1,0
354057.277759552,0,0
357110.035572052,1,0
357110.7806301117,0,0
360163.5384426117,1,0
360164.2835006714,0,1
360164.5384426117,0,0
363215.2962551117,1,0
363216.0413131714,0,1
363217.0413131714,0,0
366269.7991256714,1,0
366270.5441837311,0,0
369323.3019962311,1,0
369324.0470542908,0,0
372376.8048667908,1,0
372377.54992485046,0,1
372377.8048667908,0,0
375428.5626792908,1,0
375429.30773735046,0,1
375430.30773735046,0,0
378483.06554985046,1,0
378483.81060791016,0,0
381536.56842041016,1,0
381537.31347846985,0,0
384590.07129096985,1,0
384590.81634902954,0,1
384591.07129096985,0,0
387641.82910346985,1,0
387642.57416152954,0,0
390693.58691596985,1,0
390694.33197402954,0,0
393745.34472846985,1,0
393746.08978652954,0,0
396797.10254096985,1,0
396797.84759902954,0,0
399848.86035346985,1,0
399849.60541152954,0,0
402900.61816596985,1,0
402901.36322402954,0,0
405952.37597846985,1,0
405953.12103652954,0,0
409004.13379096985,1,0
409004.87884902954,0,0
412055.89160346985,1,0
412056.63666152954,0,0
415107.64941596985,1,0
415108.39447402954,0,0
418159.40722846985,1,0
418160.15228652954,0,0
421211.16504096985,1,0
421211.91009902954,0,0
424262.92285346985,1,0
424263.66791152954,0,0
427314.68066596985,1,0
427315.42572402954,0,0
430366.43847846985,1,0
430367.18353652954,0,0
433418.19629096985,1,0
433418.94134902954,0,0
436469.95410346985,1,0
436470.69916152954,0,0
439521.71191596985,1,0
439522.45697402954,0,0
442573.46972846985,1,0
442574.21478652954,0,0
445625.22754096985,1,0
445625.97259902954,0,0
448676.98535346985,1,0
448677.73041152954,0,0
451728.74316596985,1,0
451729.48822402954,0,0
454780.50097846985,1,0
454781.24603652954,0,0
457832.25879096985,1,0
457833.00384902954,0,0
