Time,from_ingress_queue_size,to_ingress_queue_size
0,4096,nan
2000,8192,nan
3051.7578125,4096,0
6000,8192,0
6103.515625,4096,0
9155.2734375,0,0
9159.508611679077,4096,0
9160.508611679077,8192,0
12211.266424179077,4096,0
15263.024236679077,0,0
18319.017223358154,4096,0
21370.775035858154,4096,0
24422.532848358154,0,0
27478.52583503723,4096,0
27479.52583503723,8192,0
30530.28364753723,8192,0
33582.04146003723,4096,0
36633.79927253723,0,0
36638.03444671631,4096,0
39689.79225921631,4096,0
39690.79225921631,8192,0
42741.55007171631,8192,0
45793.30788421631,4096,0
45797.543058395386,8192,0
48845.06569671631,4096,0
48849.300870895386,8192,0
51896.82350921631,4096,0
51901.058683395386,8192,0
54948.58132171631,4096,0
54952.816495895386,8192,0
54953.816495895386,12288,0
58000.33913421631,8192,0
58004.574308395386,12288,0
61052.09694671631,8192,0
61056.332120895386,12288,0
64103.85475921631,8192,0
64108.089933395386,12288,0
67155.61257171631,8192,0
67159.84774589539,12288,0
70207.37038421631,8192,0
70211.60555839539,12288,0
70212.60555839539,16384,0
73259.12819671631,12288,0
73263.36337089539,16384,0
76310.88600921631,12288,0
76315.12118339539,16384,0
79362.64382171631,12288,0
79366.87899589539,16384,0
82414.40163421631,12288,0
82418.63680839539,16384,0
85466.15944671631,12288,0
85470.39462089539,16384,0
88517.91725921631,12288,0
88522.15243339539,16384,0
88523.15243339539,16384,0
91569.67507171631,12288,0
91573.91024589539,16384,0
94621.43288421631,12288,0
94625.66805839539,16384,0
97673.19069671631,12288,0
97677.42587089539,16384,0
100724.94850921631,12288,0
100729.18368339539,16384,0
103776.70632171631,12288,0
103780.94149589539,16384,0
106828.46413421631,12288,0
106832.69930839539,16384,0
109880.22194671631,12288,0
109884.45712089539,16384,0
112931.97975921631,12288,0
112936.21493339539,16384,0
112937.21493339539,16384,0
115983.73757171631,12288,0
115987.97274589539,16384,0
119035.49538421631,12288,0
119039.73055839539,16384,0
122087.25319671631,12288,0
122091.48837089539,16384,0
125139.01100921631,12288,0
125143.24618339539,16384,0
128190.76882171631,12288,0
128195.00399589539,16384,0
128643.1224889314,16384,0
131242.5266342163,12288,0
134294.2844467163,8192,0
137346.0422592163,4096,0
140397.8000717163,0,0
140402.0352458954,4096,0
143453.7930583954,4096,0
146505.5508708954,4096,0
149557.3086833954,0,0
149561.54385757446,4096,0
152613.30167007446,4096,0
155200.42543845618,8192,0
155665.05948257446,4096,0
158716.81729507446,0,0
161772.81028175354,4096,0
164824.56809425354,4096,0
167876.32590675354,0,0
168919.1130601504,4096,0
171970.8708726504,0,0
173984.07670593262,4096,0
177035.83451843262,0,0
178078.6216718295,4096,0
181130.3794843295,0,0
183143.5853176117,4096,0
183144.5853176117,8192,0
186195.3431301117,4096,0
187238.13028350857,8192,0
189247.1009426117,4096,0
192298.8587551117,0,0
192303.09392929077,4096,0
195354.85174179077,4096,0
195355.85174179077,8192,0
198406.60955429077,8192,0
201458.36736679077,4096,0
201462.60254096985,8192,0
204510.12517929077,4096,0
204514.36035346985,8192,0
207561.88299179077,4096,0
207566.11816596985,8192,0
210613.64080429077,4096,0
210617.87597846985,8192,0
210618.87597846985,12288,0
213665.39861679077,8192,0
213669.63379096985,12288,0
216717.15642929077,8192,0
216721.39160346985,12288,0
219768.91424179077,8192,0
219773.14941596985,12288,0
222820.67205429077,8192,0
222824.90722846985,12288,0
225872.42986679077,8192,0
225876.66504096985,12288,0
225877.66504096985,16384,0
228924.18767929077,12288,0
228928.42285346985,16384,0
231975.94549179077,12288,0
231980.18066596985,16384,0
235027.70330429077,12288,0
235031.93847846985,16384,0
238079.46111679077,12288,0
238083.69629096985,16384,0
241131.21892929077,12288,0
241135.45410346985,16384,0
244182.97674179077,12288,0
244187.21191596985,16384,0
244188.21191596985,16384,0
247234.73455429077,12288,0
247238.96972846985,16384,0
250286.49236679077,12288,0
250290.72754096985,16384,0
253338.25017929077,12288,0
253342.48535346985,16384,0
256390.00799179077,12288,0
256394.24316596985,16384,0
259441.76580429077,12288,0
259446.00097846985,16384,0
262493.5236167908,12288,0
262497.75879096985,16384,0
265545.2814292908,12288,0
265549.51660346985,16384,0
268597.0392417908,12288,0
268601.27441596985,16384,0
268602.27441596985,16384,0
271648.7970542908,12288,0
271653.03222846985,16384,0
274700.5548667908,12288,0
274704.79004096985,16384,0
277752.3126792908,12288,0
277756.54785346985,16384,0
280804.0704917908,12288,0
280808.30566596985,16384,0
283855.8283042908,12288,0
283860.06347846985,16384,0
284376.24060932815,16384,0
286907.5861167908,12288,0
289959.3439292908,8192,0
293011.1017417908,4096,0
296062.8595542908,0,0
296067.09472846985,4096,0
299118.85254096985,4096,0
302170.61035346985,4096,0
305222.36816596985,0,0
305226.6033401489,4096,0
308278.3611526489,4096,0
310881.96540149406,8192,0
311330.1189651489,4096,0
314381.8767776489,0,0
317437.869764328,4096,0
320489.627576828,4096,0
323541.385389328,0,0
324661.2385022276,4096,0
327712.9963147276,0,0
329649.1361885071,4096,0
332700.8940010071,0,0
333820.74711390666,4096,0
336872.50492640666,0,0
338808.64480018616,4096,0
338809.64480018616,8192,0
341860.40261268616,4096,0
342980.25572558574,8192,0
344912.16042518616,4096,0
347963.91823768616,0,0
347968.15341186523,4096,0
351019.91122436523,4096,0
351020.91122436523,8192,0
354071.66903686523,8192,0
357123.42684936523,4096,0
357127.6620235443,8192,0
360175.18466186523,4096,0
360179.4198360443,8192,0
363226.94247436523,4096,0
363231.1776485443,8192,0
366278.70028686523,4096,0
366282.9354610443,8192,0
366283.9354610443,12288,0
369330.45809936523,8192,0
369334.6932735443,12288,0
372382.21591186523,8192,0
372386.4510860443,12288,0
375433.97372436523,8192,0
375438.2088985443,12288,0
378485.73153686523,8192,0
378489.9667110443,12288,0
381537.48934936523,8192,0
381541.7245235443,12288,0
381542.7245235443,16384,0
384589.24716186523,12288,0
384593.4823360443,16384,0
387641.00497436523,12288,0
387645.2401485443,16384,0
390692.76278686523,12288,0
390696.9979610443,16384,0
393744.52059936523,12288,0
393748.7557735443,16384,0
396796.27841186523,12288,0
396800.5135860443,16384,0
399848.03622436523,12288,0
399852.2713985443,16384,0
399853.2713985443,16384,0
402899.79403686523,12288,0
402904.0292110443,16384,0
405951.55184936523,12288,0
405955.7870235443,16384,0
409003.30966186523,12288,0
409007.5448360443,16384,0
412055.06747436523,12288,0
412059.3026485443,16384,0
415106.82528686523,12288,0
415111.0604610443,16384,0
418158.58309936523,12288,0
418162.8182735443,16384,0
421210.34091186523,12288,0
421214.5760860443,16384,0
424262.09872436523,12288,0
424266.3338985443,16384,0
424267.3338985443,16384,0
427313.85653686523,12288,0
427318.0917110443,16384,0
430365.61434936523,12288,0
430369.8495235443,16384,0
433417.37216186523,12288,0
433421.6073360443,16384,0
436469.12997436523,12288,0
436473.3651485443,16384,0
439520.88778686523,12288,0
439525.1229610443,16384,0
440044.7165853535,16384,0
442572.64559936523,12288,0
445624.40341186523,8192,0
448676.16122436523,4096,0
451727.91903686523,0,0
451732.1542110443,4096,0
454783.9120235443,4096,0
457835.6698360443,4096,0
460887.4276485443,0,0
460891.6628227234,4096,0
463943.4206352234,4096,0
466548.71086923516,8192,0
466995.1784477234,4096,0
470046.9362602234,0,0
473102.92924690247,4096,0
476154.68705940247,4096,0
479206.44487190247,0,0
480330.73809889273,4096,0
483382.49591139273,0,0
485314.19567108154,4096,0
