Time,from_ingress_queue_size,to_ingress_queue_size
4473.42,1,nan
4473.5,0,0
10432.9,1,0
10433,0,0
12667.1,1,0
12667.1,0,0
21608.8,1,0
21608.8,0,0
23097.9,1,0
23097.9,0,0
25338,1,0
25338.1,0,0
26828.2,1,0
26828.2,0,0
35768.9,1,0
35768.9,0,0
37258,1,0
37258.1,0,0
38748.1,1,0
38748.2,0,0
40239.2,1,0
40239.3,0,0
47685.8,1,0
47685.9,0,0
49175.9,1,0
49176,0,0
50669,1,0
50669.1,0,0
57373.5,1,0
57373.6,0,0
58864.7,1,0
58864.7,0,0
60354.8,1,0
60354.9,0,0
62591,1,0
62591,0,0
68549.4,1,0
68549.5,0,0
70786.6,1,0
70786.7,0,0
71527.6,1,0
71527.7,0,0
81960.5,1,0
81960.5,0,0
84938.7,1,0
84938.8,0,0
85683.8,1,0
85683.8,0,0
97606.7,1,0
97606.8,0,0
100585,1,0
100585,0,0
101334,1,0
101334,0,0
102079,1,0
102079,0,0
112506,1,0
112506,0,0
113251,1,0
113251,0,0
113996,1,0
113996,0,0
122937,1,0
122937,0,0
124427,1,0
124427,0,0
136352,1,0
136352,0,0
137841,1,0
137841,0,0
149759,1,0
149759,0,0
162425,1,0
162425,0,0
163170,1,0
163170,0,0
175836,1,0
175836,0,0
177326,1,0
177326,0,0
187757,1,0
187757,0,0
189250,1,0
189250,0,0
199678,1,0
199678,0,0
201168,1,0
201168,0,0
210854,1,0
210854,0,0
213093,1,0
213093,0,0
214582,1,0
214582,0,0
223519,1,0
223520,0,0
226500,1,0
226500,0,0
235440,1,0
235440,0,0
238421,1,0
238421,0,0
248851,1,0
248852,0,0
251836,1,0
251836,0,0
262263,1,0
262263,0,0
263756,1,0
263756,0,0
271948,1,0
271948,0,0
274186,1,0
274187,0,0
283124,1,0
283124,0,0
284617,1,0
284617,0,0
286107,1,0
286107,0,0
295047,1,0
295047,0,0
295794,1,0
295794,0,0
296538,1,0
296538,0,0
297284,1,0
297284,0,0
304733,1,0
304733,0,0
305478,1,0
305478,0,0
306224,1,0
306224,0,0
312925,1,0
312926,0,0
313674,1,0
313674,0,0
314419,1,0
314419,0,0
321866,1,0
321866,0,0
323359,1,0
323359,0,0
324104,1,0
324104,0,0
324850,1,0
324850,0,0
333787,1,0
333787,0,0
336027,1,0
336027,0,0
336772,1,0
336772,0,0
337516,1,0
337516,0,0
338261,1,0
338262,0,0
346458,1,0
346458,0,0
347201,1,0
347201,0,0
347946,1,0
347946,0,0
348692,1,0
348692,0,0
349437,1,0
349437,0,0
350927,1,0
350927,0,0
356142,1,0
356142,0,0
357633,1,0
357633,0,0
358377,1,0
358377,0,0
359123,1,0
359123,0,0
359868,1,0
359868,0,0
361358,1,0
361358,0,0
362848,1,0
362848,0,0
365085,1,0
365085,0,0
366574,1,0
366574,0,0
367318,1,0
367318,0,0
368065,1,0
368065,0,0
368810,1,0
368810,0,0
369555,1,0
369555,0,0
370300,1,0
370300,0,0
371045,1,0
371045,0,0
372535,1,0
372535,0,0
