Time,from_ingress_queue_size,to_ingress_queue_size
439,10000,nan
1184.06,0,10000
1188.06,0,0
1935.27,10000,0
1936.27,20000,0
2680.32,10000,10000
2682.25,10000,0
3425.38,0,10000
3429.38,0,0
4927.8,10000,0
4928.8,20000,0
5659.56,30000,0
5672.85,20000,0
6417.91,10000,10000
6418.91,10000,0
7162.97,0,10000
7166.97,0,0
7921.33,10000,0
8642.79,20000,0
8666.38,10000,10000
8669.38,10000,0
9411.44,0,10000
9415.44,0,0
13528.9,10000,0
14274,0,0
17584.5,10000,0
18329.5,0,10000
18334.5,0,0
20564.7,10000,0
21309.8,0,10000
21314.7,0,0
33226.7,10000,0
33227.7,20000,0
33971.8,10000,10000
33977.7,10000,0
34716.8,0,10000
34720.8,0,0
42167.4,10000,0
42912.5,0,10000
42913.5,10000,10000
42918.4,10000,0
43658.5,0,10000
43662.5,0,0
54089.3,10000,0
54090.3,20000,0
54834.4,10000,10000
54836.3,10000,0
54837.4,20000,0
55579.4,10000,10000
55581.4,10000,0
56324.5,0,10000
56326.4,0,0
66009.3,10000,0
66754.3,10000,10000
66755.3,20000,10000
66759.2,20000,0
67498.4,30000,0
67499.4,20000,10000
67503.4,20000,0
68244.4,10000,10000
68248.4,10000,0
68989.5,0,10000
68993.4,0,0
82404.5,10000,0
83149.6,0,10000
83154.5,0,0
83889.7,10000,0
83890.7,20000,0
84634.7,10000,10000
84638.6,10000,0
85379.8,0,10000
85383.7,0,0
95067.5,10000,0
95811.6,20000,0
95812.6,10000,10000
95816.5,10000,0
96555.6,20000,0
96557.6,10000,10000
96561.6,10000,0
97302.7,0,10000
97306.7,0,0
106987,10000,0
106988,20000,0
107733,20000,10000
107737,20000,0
108477,30000,0
108478,20000,10000
108482,20000,0
109223,10000,10000
109227,10000,0
109968,0,10000
109972,0,0
120398,10000,0
121144,0,10000
121146,0,0
121148,10000,0
121149,20000,0
121893,20000,10000
121898,20000,0
122633,30000,0
122638,20000,10000
122642,20000,0
123383,10000,10000
123387,10000,0
124128,0,10000
124131,0,0
133064,10000,0
133810,10000,10000
133814,10000,0
134554,20000,0
134555,10000,10000
134559,10000,0
135299,20000,0
135300,20000,10000
135304,20000,0
136045,10000,10000
136049,10000,0
136789,20000,0
136790,10000,10000
136794,10000,0
137535,0,10000
137539,0,0
145730,10000,0
146476,10000,10000
146480,10000,0
147220,20000,0
147221,10000,10000
147225,10000,0
147965,20000,0
147966,10000,10000
147970,10000,0
148711,0,10000
148715,0,0
149455,10000,0
149456,20000,0
150200,10000,10000
150203,10000,0
150204,20000,0
150945,10000,10000
150949,10000,0
151690,0,10000
151694,0,0
162126,10000,0
162871,0,10000
162876,0,0
163611,10000,0
164356,0,10000
164359,0,0
164360,10000,0
165105,10000,10000
165110,10000,0
165850,0,10000
165854,0,0
170321,10000,0
171066,0,10000
171070,0,0
171807,10000,0
172552,0,10000
172554,0,0
173302,10000,0
173303,20000,0
174046,30000,0
174047,20000,10000
174051,20000,0
174792,10000,10000
174796,10000,0
175537,0,10000
175539,0,0
179258,10000,0
180003,0,10000
180008,0,0
180747,10000,0
181492,0,10000
181495,0,0
182241,10000,0
182986,10000,10000
182987,20000,10000
182991,20000,0
183731,10000,10000
183735,10000,0
184472,20000,0
184476,10000,10000
184478,10000,0
185222,0,10000
185226,0,0
191179,10000,0
191924,0,10000
191927,0,0
192673,10000,0
193418,0,10000
193422,0,0
194907,10000,0
195652,10000,10000
195657,10000,0
196397,0,10000
196401,0,0
197138,10000,0
197884,0,10000
197885,0,0
197887,10000,0
197888,20000,0
198632,10000,10000
198633,10000,0
199377,0,10000
199378,0,0
204590,10000,0
205335,0,10000
205340,0,0
206079,10000,0
206824,0,10000
206827,0,0
209063,10000,0
209808,10000,10000
209813,10000,0
210554,0,10000
210558,0,0
211295,10000,0
212040,0,10000
212042,0,0
212043,10000,0
212788,0,10000
212793,0,0
223965,10000,0
224710,0,10000
224715,0,0
225451,10000,0
226196,0,10000
226199,0,0
226945,10000,0
227690,0,10000
227694,0,0
228431,10000,0
229176,0,10000
229178,0,0
238866,10000,0
239611,0,10000
239616,0,0
240352,10000,0
241097,0,10000
241100,0,0
242591,10000,0
242592,20000,0
243336,10000,10000
243340,10000,0
244081,0,10000
244084,0,0
253768,10000,0
254513,0,10000
254517,0,0
256747,10000,0
257492,0,10000
257498,0,0
258233,10000,0
258978,0,10000
258982,0,0
267178,10000,0
267923,0,10000
267928,0,0
270159,10000,0
270904,0,10000
270909,0,0
281334,10000,0
282079,10000,10000
282084,10000,0
282824,0,10000
282829,0,0
291765,10000,0
291766,20000,0
292510,10000,10000
292515,10000,0
293251,20000,0
293255,10000,10000
293259,10000,0
294000,0,10000
294004,0,0
304431,10000,0
305176,0,10000
305181,0,0
305917,10000,0
305918,20000,0
306662,10000,10000
306665,10000,0
306666,20000,0
307407,10000,10000
307411,10000,0
308152,0,10000
308156,0,0
322312,10000,0
323057,0,10000
323058,10000,10000
323059,20000,10000
323063,20000,0
323803,10000,10000
323807,10000,0
324548,0,10000
324552,0,0
334979,10000,0
335724,0,10000
335729,0,0
