Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.2919, 23.5844, 315912

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.6855, 21.0539, 353882

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9405, 19.3597, 384850

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.4272, 20.8031, 358147

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.7568, 20.92, 356147
